"gi_id","gi_name","upt_id","ultg_id","lat","lng","exact_map_url","provenance_source_url","verification_status"
"MTU-GI-UPT-GRS-GI-70KV-MANYAR-4d8af2db31429d66","GI 70KV MANYAR","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.1283719","112.6130394","https://www.google.com/maps/search/?api=1&query=-7.1283719,112.6130394","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20MANYAR&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-70KV-MASPIONSBM-6e6b4f3e7e608ac4","GI 70KV MASPIONSBM","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20MASPIONSBM&hl=id&gl=id","unverified"
"MTU-GI-UPT-GRS-GI-70KV-SEGOROMADU","GI 70KV SEGOROMADU","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEGOROMADU&hl=id&gl=id","manual_review"
"MTU-GI-UPT-GRS-GI-70KV-SEMENGRESIK-12c165ccfb10ded2","GI 70KV SEMENGRESIK","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.1733058","112.647779","https://www.google.com/maps/search/?api=1&query=-7.1733058,112.647779","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEMENGRESIK&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GIS-150KV-GRESIK-cef86f1f6e699c73","GIS 150KV GRESIK","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GRESIK&hl=id&gl=id","unverified"
"MTU-GI-UPT-GRS-GIS-150KV-TANDES-bc49cb78bb7585e8","GIS 150KV TANDES","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.2567284","112.6850053","https://www.google.com/maps/search/?api=1&query=-7.2567284,112.6850053","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TANDES&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GISTET-500KV-GRESIK-244d032dca4d67ea","GISTET 500KV GRESIK","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GRESIK&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-150KV-BABAT","GI 150KV BABAT","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.1237358","112.1465666","https://www.google.com/maps/search/?api=1&query=-7.1237358,112.1465666","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BABAT&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-BANARAN-f8385c5552475aca","GI 150KV BANARAN","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20BANARAN&hl=id&gl=id","manual_review_duplicate_voltage"
"MTU-GI-UPT-MDN-GI-150KV-BOJONEGORO-f6abd84f112ba707","GI 150KV BOJONEGORO","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.1760831","111.8671482","https://www.google.com/maps/search/?api=1&query=-7.1760831,111.8671482","https://www.google.com/search?tbm=map&q=PLN%20GI%20BOJONEGORO&hl=id&gl=id","verified_candidate_second_pass"
"MTU-GI-UPT-MDN-GI-150KV-JATIGEDONG-30f1115f86bd204c","GI 150KV JATIGEDONG","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.437281","112.2498917","https://www.google.com/maps/search/?api=1&query=-7.437281,112.2498917","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20JATIGEDONG&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-JAYAKERTAS-f94f3f0c9c98a7e6","GI 150KV JAYAKERTAS","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","-7.6111172","112.0895214","https://www.google.com/maps/search/?api=1&query=-7.6111172,112.0895214","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20JAYAKERTAS&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-JOMBANG-c6e5785371249833","GI 150KV JOMBANG","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","-7.5392422","112.2084999","https://www.google.com/maps/search/?api=1&query=-7.5392422,112.2084999","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20JOMBANG&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-KEDIRI","GI 150KV KEDIRI","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20KEDIRI&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-150KV-KEREK","GI 150KV KEREK","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-6.8655631","111.9156187","https://www.google.com/maps/search/?api=1&query=-6.8655631,111.9156187","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20KEREK&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-KERTOSONO-dc2393c713eab9d1","GI 150KV KERTOSONO","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","-7.6148929","112.0982897","https://www.google.com/maps/search/?api=1&query=-7.6148929,112.0982897","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20KERTOSONO&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-LAMONGAN-a3b8b065cb1c0940","GI 150KV LAMONGAN","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.1419928","112.4128547","https://www.google.com/maps/search/?api=1&query=-7.1419928,112.4128547","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20LAMONGAN&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-MANISREJO","GI 150KV MANISREJO","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","-7.6403582","111.5478083","https://www.google.com/maps/search/?api=1&query=-7.6403582,111.5478083","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20MANISREJO&hl=id&gl=id","verified_candidate"
