"gi_id","gi_name","lat","lng","place_id","poi_title","url","status"
"MTU-GI-UPT-PBG-GI-150KV-NEWPORONG-3a7f82e0b8123577","GI 150KV NEWPORONG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NEWPORONG&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GI-150KV-ISPATINDO-1ffbb085a1828416","GI 150KV ISPATINDO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20ISPATINDO&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GI-150KV-PERAK","GI 150KV PERAK","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PERAK&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GI-150KV-SIDOARJO","GI 150KV SIDOARJO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SIDOARJO&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GI-70KV-MASPION-f080564f461c13a5","GI 70KV MASPION","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20MASPION&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GI-70KV-PERAK-d0c571aac92baa74","GI 70KV PERAK","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PERAK&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GI-70KV-WARU-dd1a5350d6e76139","GI 70KV WARU","-7.347781599999999","112.70810519999999","0x2dd7fd003a54110f:0x8dc247ce0731e29c","PT. PLN (Persero) GIS 150kV Waru","https://www.google.com/search?tbm=map&q=PLN%20GI%20WARU&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GIS-150KV-GEMBONG-8e7400e7f106e92e","GIS 150KV GEMBONG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GEMBONG&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GIS-150KV-SAWAHAN","GIS 150KV SAWAHAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SAWAHAN&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GIS-150KV-UJUNG-be6932d54c3def1e","GIS 150KV UJUNG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20UJUNG&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GIS-150KV-WARU","GIS 150KV WARU","-7.347781599999999","112.70810519999999","0x2dd7fd003a54110f:0x8dc247ce0731e29c","PT. PLN (Persero) GIS 150kV Waru","https://www.google.com/search?tbm=map&q=PLN%20GI%20WARU&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GIS-150KV-WONOKROMO-3f5ab3516836a2dc","GIS 150KV WONOKROMO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20WONOKROMO&hl=id&gl=id","none"
