id,normalized_name,upt_id,ultg_id
MTU-GI-UPT-MLG-GI-70KV-SENGGURUH,GI 70KV SENGGURUH,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-SENGKALING-b1f2eaf4795c7778,GI 70KV SENGKALING,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-SIMAN,GI 70KV SIMAN,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-TARIK,GI 70KV TARIK,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-TJIWIKIMIA-bfe6f7f18ae6441f,GI 70KV TJIWIKIMIA,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-TUREN,GI 70KV TUREN,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-WLINGI-26a7da0a593ba125,GI 70KV WLINGI,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GIS-150KV-DRIYOREJO,GIS 150KV DRIYOREJO,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-MLG-GIS-150KV-KARANGPILANG,GIS 150KV KARANGPILANG,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-MLG-GITET-500KV-KRIAN,GITET 500KV KRIAN,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-PBG-GI-150KV-BANYUWANGI,GI 150KV BANYUWANGI,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-150KV-BONDOWOSO-c88c936464daa4a8,GI 150KV BONDOWOSO,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-150KV-BULUKANDANG,GI 150KV BULUKANDANG,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-BUMICOKRO,GI 150KV BUMICOKRO,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-GENDING-92c7e4523564b825,GI 150KV GENDING,UPT-PBG,MTU-ULTG-UPT-PBG-PROBOLINGGO
MTU-GI-UPT-PBG-GI-150KV-GENTENG-ee8b88d07fa1df65,GI 150KV GENTENG,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-150KV-GONDANGWETAN,GI 150KV GONDANGWETAN,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-GRATI,GI 150KV GRATI,UPT-PBG,MTU-ULTG-UPT-PBG-PROBOLINGGO
MTU-GI-UPT-PBG-GI-150KV-JEMBER,GI 150KV JEMBER,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-150KV-KIS,GI 150KV KIS,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-KRAKSAAN,GI 150KV KRAKSAAN,UPT-PBG,MTU-ULTG-UPT-PBG-PROBOLINGGO
MTU-GI-UPT-PBG-GI-150KV-LUMAJANG,GI 150KV LUMAJANG,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-150KV-NEWPANDAAN-d8f3e4f7d877aade,GI 150KV NEWPANDAAN,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-NEWPORONG-3a7f82e0b8123577,GI 150KV NEWPORONG,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-PAITON,GI 150KV PAITON,UPT-PBG,MTU-ULTG-UPT-PBG-PROBOLINGGO
MTU-GI-UPT-PBG-GI-150KV-PIER,GI 150KV PIER,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-PROBOLINGGO,GI 150KV PROBOLINGGO,UPT-PBG,MTU-ULTG-UPT-PBG-PROBOLINGGO
MTU-GI-UPT-PBG-GI-150KV-PUGER-cfb2f1df35d1eb29,GI 150KV PUGER,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-150KV-PURWOSARI-b5962ce5b4bbe7b9,GI 150KV PURWOSARI,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-REJOSO,GI 150KV REJOSO,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-150KV-SITUBONDO,GI 150KV SITUBONDO,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-150KV-TANGGUL,GI 150KV TANGGUL,UPT-PBG,MTU-ULTG-UPT-PBG-JEMBER
MTU-GI-UPT-PBG-GI-70KV-BANGIL-f9e6a8fb60524ffd,GI 70KV BANGIL,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-70KV-PANDAAN-0bfcc35363ccec1e,GI 70KV PANDAAN,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GI-70KV-SUKOREJO-35bdcf5abce64346,GI 70KV SUKOREJO,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GIS-150KV-BANGIL-dca4eb4fe03e3263,GIS 150KV BANGIL,UPT-PBG,MTU-ULTG-UPT-PBG-BANGIL
MTU-GI-UPT-PBG-GISTET-500KV-PAITON,GISTET 500KV PAITON,UPT-PBG,MTU-ULTG-UPT-PBG-PROBOLINGGO
MTU-GI-UPT-PBG-GITET-500KV-GRATI,GITET 500KV GRATI,UPT-PBG,MTU-ULTG-UPT-PBG-PROBOLINGGO
MTU-GI-UPT-SBY-GI-150KV-BABADAN-69125836f207c37f,GI 150KV BABADAN,UPT-SBY,ULTG-28V8Y3
MTU-GI-UPT-SBY-GI-150KV-BUDURAN-8c4a8a51f6cb6e3a,GI 150KV BUDURAN,UPT-SBY,ULTG-28V8Y3
MTU-GI-UPT-SBY-GI-150KV-ISPATINDO-1ffbb085a1828416,GI 150KV ISPATINDO,UPT-SBY,ULTG-28V8Y3
MTU-GI-UPT-SBY-GI-150KV-KALISARI-371cbb4cfcfe32e7,GI 150KV KALISARI,UPT-SBY,ULTG-PLNM
MTU-GI-UPT-SBY-GI-150KV-KENJERAN,GI 150KV KENJERAN,UPT-SBY,ULTG-PLNM
MTU-GI-UPT-SBY-GI-150KV-PERAK,GI 150KV PERAK,UPT-SBY,ULTG-PLNM
MTU-GI-UPT-SBY-GI-150KV-RUNGKUT,GI 150KV RUNGKUT,UPT-SBY,ULTG-28V8Y3
MTU-GI-UPT-SBY-GI-150KV-SEDATI-901c4a7ab44fb222,GI 150KV SEDATI,UPT-SBY,ULTG-28V8Y3
MTU-GI-UPT-SBY-GI-150KV-SIDOARJO,GI 150KV SIDOARJO,UPT-SBY,ULTG-28V8Y3
MTU-GI-UPT-SBY-GI-150KV-SUKOLILO,GI 150KV SUKOLILO,UPT-SBY,ULTG-PLNM
MTU-GI-UPT-SBY-GI-150KV-SURABAYA-SELATAN-2f87665cca1bec95,GI 150KV SURABAYA SELATAN,UPT-SBY,ULTG-PLNM
MTU-GI-UPT-SBY-GI-70KV-BUDURAN,GI 70KV BUDURAN,UPT-SBY,ULTG-28V8Y3
MTU-GI-UPT-SBY-GI-70KV-MASPION-f080564f461c13a5,GI 70KV MASPION,UPT-SBY,ULTG-28V8Y3
