"gi_id","gi_name","lat","lng","poi_title","url","status"
"MTU-GI-UPT-MLG-GI-150KV-SENGKALING","GI 150KV SENGKALING","","","","https://www.google.com/search?tbm=map&q=GI%20SENGKALING&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-SURABAYA-BARAT","GI 150KV SURABAYA BARAT","","","","https://www.google.com/search?tbm=map&q=GI%20SURABAYA%20BARAT&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-SUTAMI","GI 150KV SUTAMI","","","","https://www.google.com/search?tbm=map&q=GI%20SUTAMI&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-WLINGI-01508f3af230b558","GI 150KV WLINGI","-8.1428602","112.24669589999999","GI WLINGI","https://www.google.com/search?tbm=map&q=GI%20WLINGI&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-70KV-AJINOMOTO","GI 70KV AJINOMOTO","","","","https://www.google.com/search?tbm=map&q=GI%20AJINOMOTO&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-BANGUN-1a52bc2115774b98","GI 70KV BANGUN","","","","https://www.google.com/search?tbm=map&q=GI%20BANGUN&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-MENDALAN","GI 70KV MENDALAN","","","","https://www.google.com/search?tbm=map&q=GI%20MENDALAN&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-PLOSO","GI 70KV PLOSO","-7.4880805","112.6969371","Blk. GI","https://www.google.com/search?tbm=map&q=GI%20PLOSO&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-70KV-SEKARPUTIH","GI 70KV SEKARPUTIH","-7.4693143","112.4607408","PLN GI Sekar Putih","https://www.google.com/search?tbm=map&q=GI%20SEKARPUTIH&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-70KV-SELOREJO-7d2bfd622989fb4d","GI 70KV SELOREJO","","","","https://www.google.com/search?tbm=map&q=GI%20SELOREJO&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-SENGGURUH","GI 70KV SENGGURUH","-8.1847238","112.5496402","GI SENGGURUH","https://www.google.com/search?tbm=map&q=GI%20SENGGURUH&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-70KV-SENGKALING-b1f2eaf4795c7778","GI 70KV SENGKALING","","","","https://www.google.com/search?tbm=map&q=GI%20SENGKALING&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-WLINGI-26a7da0a593ba125","GI 70KV WLINGI","-8.1428602","112.24669589999999","GI WLINGI","https://www.google.com/search?tbm=map&q=GI%20WLINGI&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-GENTENG-ee8b88d07fa1df65","GI 150KV GENTENG","","","","https://www.google.com/search?tbm=map&q=GI%20GENTENG&hl=id&gl=id","none"
"MTU-GI-UPT-PBG-GI-150KV-NEWPANDAAN-d8f3e4f7d877aade","GI 150KV NEWPANDAAN","","","","https://www.google.com/search?tbm=map&q=GI%20NEWPANDAAN&hl=id&gl=id","none"
"MTU-GI-UPT-PBG-GI-150KV-NEWPORONG-3a7f82e0b8123577","GI 150KV NEWPORONG","-7.5664272","112.7057157","Site GI New Porong","https://www.google.com/search?tbm=map&q=GI%20NEWPORONG&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-150KV-ISPATINDO-1ffbb085a1828416","GI 150KV ISPATINDO","","","","https://www.google.com/search?tbm=map&q=GI%20ISPATINDO&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GI-150KV-PERAK","GI 150KV PERAK","-7.2085871","112.72287379999999","GI Perak","https://www.google.com/search?tbm=map&q=GI%20PERAK&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-150KV-SIDOARJO","GI 150KV SIDOARJO","-7.495441899999999","112.70021919999999","PLN GI Sidoarjo","https://www.google.com/search?tbm=map&q=GI%20SIDOARJO&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-70KV-MASPION-f080564f461c13a5","GI 70KV MASPION","-7.3751745","112.7208175","GI Maspion","https://www.google.com/search?tbm=map&q=GI%20MASPION&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-70KV-PERAK-d0c571aac92baa74","GI 70KV PERAK","-7.2085871","112.72287379999999","GI Perak","https://www.google.com/search?tbm=map&q=GI%20PERAK&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GIS-150KV-GEMBONG-8e7400e7f106e92e","GIS 150KV GEMBONG","","","","https://www.google.com/search?tbm=map&q=GI%20GEMBONG&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GIS-150KV-SAWAHAN","GIS 150KV SAWAHAN","-7.2545281","112.7135323","GIS Sawahan","https://www.google.com/search?tbm=map&q=GI%20SAWAHAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GIS-150KV-UJUNG-be6932d54c3def1e","GIS 150KV UJUNG","","","","https://www.google.com/search?tbm=map&q=GI%20UJUNG&hl=id&gl=id","none"
"MTU-GI-UPT-SBY-GIS-150KV-WONOKROMO-3f5ab3516836a2dc","GIS 150KV WONOKROMO","","","","https://www.google.com/search?tbm=map&q=GI%20WONOKROMO&hl=id&gl=id","none"
