"gi_id","gi_name","upt_id","ultg_id","lat","lng","place_id","poi_title","poi_address","source_url","status"
"MTU-GI-UPT-PBG-GI-150KV-PIER","GI 150KV PIER","UPT-PBG","MTU-ULTG-UPT-PBG-BANGIL","-7.6277246","112.81361109999999","0x2dd7c52a5fe88863:0x9d12c2eeab0ed02e","Gardu Induk 150kV PIER","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PIER&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-PLTU-GRESIK","GI 150KV PLTU GRESIK","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PLTU%20GRESIK&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-PBG-GI-150KV-PROBOLINGGO","GI 150KV PROBOLINGGO","UPT-PBG","MTU-ULTG-UPT-PBG-PROBOLINGGO","-7.7641588","113.2128412","0x2dd7ad1d5a5b3f83:0x5746a5a8777e9baa","PT. PLN (Persero) Gardu Induk 150kV Probolinggo","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PROBOLINGGO&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-PUGER-cfb2f1df35d1eb29","GI 150KV PUGER","UPT-PBG","MTU-ULTG-UPT-PBG-JEMBER","-8.3428813","113.494323","0x2dd685a8f9d56555:0x67b856670507b337","PLN Gardu Induk Puger","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PUGER&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-PURWOSARI-b5962ce5b4bbe7b9","GI 150KV PURWOSARI","UPT-PBG","MTU-ULTG-UPT-PBG-BANGIL","-7.7679049","112.75971799999999","0x2dd7d3cba10d3c69:0x7688036210fd7adc","Gardu induk Purwosari","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PURWOSARI&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-REJOSO","GI 150KV REJOSO","UPT-PBG","MTU-ULTG-UPT-PBG-BANGIL","-7.694333599999999","112.965609","0x2dd7c84df8511bb7:0x89beafdae10284c4","GI Rejoso","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20REJOSO&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-150KV-RUNGKUT","GI 150KV RUNGKUT","UPT-SBY","ULTG-28V8Y3","-7.3409265999999995","112.74722179999999","0x2dd7fb313c3aff7d:0x6657591d903d06d9","PLN Gardu Induk Rungkut","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20RUNGKUT&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-SAMBIKEREP-5e914dee41402ff4","GI 150KV SAMBIKEREP","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.2624486","112.64282879999999","0x2dd7fe0d5a7cfcfb:0x286d6ccf048daf7d","GI 150kV Sambikerep","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SAMBIKEREP&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-SAMPANG-567296a8598bf4bd","GI 150KV SAMPANG","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.180035299999999","113.23809329999999","0x2dd7875fec59efe3:0x75d48adda4c43da2","PT. PLN (Persero) ULTG \u0026 GI 150kV Sampang","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SAMPANG&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-SANUR-ad77a05028977661","GI 150KV SANUR","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SANUR&hl=id&gl=id","no_poi_match"
